nClusters,dist,PCA,nTopics,silhouetteValue,Acc_FirtsPartyWinner,Acc_IssueArea
17,1.7491337399740339,7,12,0.1774507620683458,0.11867998788979715,0.04026642446260975
18,1.7485070071989224,7,12,0.17340722784899204,0.11867998788979715,0.04268846503178928
19,1.7129020225512663,7,12,0.1741577202149792,0.11534968210717529,0.03966091432031486
2,3.281431694492539,12,12,0.10340522617723988,0.5982440205873448,0.07356948228882834
3,3.267191493716234,12,12,0.10127949181766908,0.5498032092037541,0.05752346351801393
4,3.0544925234972764,12,12,0.16451965785477518,0.3012412957917045,0.08446866485013624
5,3.0465051044440092,12,12,0.21198801836995404,0.16136845292158644,0.07023917650620648
6,2.858671521856458,12,12,0.21181990182357913,0.16136845292158644,0.07084468664850137
7,2.707860567778252,12,12,0.23260228441853897,0.16076294277929154,0.0602482591583409
8,2.675874552412399,12,12,0.23464116990304193,0.16076294277929154,0.06933091129276416
9,2.662253839964474,12,12,0.2307484478692153,0.16076294277929154,0.06842264607932183
10,2.605672782311881,12,12,0.2778306856257104,0.16076294277929154,0.060551014229488345
11,2.5915611730734707,12,12,0.2990570830356908,0.135028761731759,0.047229791099000905
12,2.517180250876344,12,12,0.29883054873887854,0.135028761731759,0.048138056312443236
13,2.345766688294044,12,12,0.2771550286518037,0.08386315470784135,0.04147744474719951
14,2.321485550829444,12,12,0.2500028495250242,0.08386315470784135,0.03390856796851347
15,2.2865904081173403,12,12,0.22564149811476752,0.08386315470784135,0.03814713896457766
16,2.26967013522607,12,12,0.21424230352659102,0.08386315470784135,0.034816833181955796
17,2.257119164444101,12,12,0.20726641241287416,0.08386315470784135,0.03511958825310324
18,2.1659245115649735,12,12,0.2012201304103008,0.08386315470784135,0.03511958825310324
19,2.163335582425574,12,12,0.20172631613117667,0.08386315470784135,0.034816833181955796
2,1.542314363504844,2,17,0.41035972297294804,0.5237662730850742,0.06418407508325764
3,1.1636195821647597,2,17,0.5074656619285278,0.48077505298213746,0.05782621858916137
4,1.0099955797705615,2,17,0.44885091348431255,0.4332425068119891,0.05086285195277021
5,0.9894502123285551,2,17,0.43076349553258997,0.4332425068119891,0.05903723887375113
6,0.7913570597748361,2,17,0.3955336414003362,0.3045716015743264,0.13109294580684228
7,0.654794488425205,2,17,0.3730339209105681,0.3045716015743264,0.13169845594913715
8,0.6146847267481278,2,17,0.36190108829153766,0.3045716015743264,0.13381774144716924
9,0.6020287515549387,2,17,0.3534766117922284,0.3045716015743264,0.14108386315470783
10,0.5943085111812169,2,17,0.33368439648057446,0.2600666061156524,0.13533151680290645
11,0.5576301535436473,2,17,0.3268928603231774,0.2600666061156524,0.13321223130487436
12,0.540469143349724,2,17,0.3156009975006757,0.2600666061156524,0.13230396609143202
13,0.5101607153974078,2,17,0.333038707967833,0.2016348773841962,0.07659703300030275
14,0.5062143267754442,2,17,0.33500678294964814,0.2016348773841962,0.07538601271571299
15,0.4812826949807807,2,17,0.3342413038360912,0.09657886769603391,0.14168937329700274
16,0.41633764997166034,2,17,0.33604364688710964,0.09657886769603391,0.14168937329700274
17,0.4159574705453189,2,17,0.34100312058756743,0.09657886769603391,0.13926733272782318
18,0.41245454387115377,2,17,0.3005427750982426,0.09657886769603391,0.14834998486224643
19,0.4110596770711328,2,17,0.27594190078236586,0.09657886769603391,0.1241295791704511
2,3.0813046459390967,7,17,0.0977521405362924,0.5316379049349077,0.07659703300030275
3,2.9245115058175224,7,17,0.103334315529218,0.46533454435361793,0.05782621858916137
4,2.6640723120703935,7,17,0.16431382619081675,0.26824099303663335,0.11867998788979715
5,2.5505970866087213,7,17,0.1833671467431223,0.26824099303663335,0.17075386012715713
6,2.513713366316072,7,17,0.22843588677584886,0.21071752951861944,0.21707538601271573
7,2.39016721729232,7,17,0.27878589579192165,0.1516802906448683,0.09445958219800181
8,2.2823164861736975,7,17,0.2824440031245609,0.1516802906448683,0.09445958219800181
9,2.172049347007403,7,17,0.26285873498973034,0.1516802906448683,0.07992733878292461
10,2.1637820701193013,7,17,0.2674398250034377,0.07417499243112322,0.07811080835603997
11,2.0809072678856366,7,17,0.26118915834188067,0.07417499243112322,0.08295488949439903
12,1.9814599429959256,7,17,0.2582510503747468,0.07417499243112322,0.07932182864062973
13,1.9376690965311072,7,17,0.2550663067756752,0.07417499243112322,0.07780805328489253
14,1.8868945120500136,7,17,0.2473274309217041,0.07417499243112322,0.07750529821374508
15,1.868679191062793,7,17,0.24786015023924052,0.07417499243112322,0.07750529821374508
16,1.8080960541009388,7,17,0.22845415732574323,0.047229791099000905,0.07659703300030275
17,1.7613937453974309,7,17,0.21945445246246942,0.047229791099000905,0.07447774750227067
18,1.7578300666070288,7,17,0.22012332826127742,0.047229791099000905,0.07296397214653345
19,1.7365599552458688,7,17,0.22084717485749913,0.047229791099000905,0.07266121707538602
2,3.699483218033142,12,17,0.07833418340231024,0.58462004238571,0.06993642143505904
3,3.384712934577325,12,17,0.07379049827493456,0.5264910687254012,0.04087193460490463
4,3.326151053702336,12,17,0.1138026990329702,0.33424159854677565,0.13472600666061157
5,3.17098787072149,12,17,0.13457993955747774,0.2936724190130185,0.2010293672419013
6,3.1147397856361008,12,17,0.1376002533348149,0.2936724190130185,0.19588253103239478
7,3.1115513167107407,12,17,0.1393359306125421,0.2936724190130185,0.1952770208900999
8,3.060309478261352,12,17,0.16753439046991717,0.25219497426581894,0.09930366333636088
9,2.9999136530051866,12,17,0.17374062585611982,0.25219497426581894,0.10112019376324553
10,2.974840031057259,12,17,0.2452080679744181,0.14744171964880412,0.10656978504389948
11,2.9375980507552173,12,17,0.25875859762168096,0.14744171964880412,0.1095973357553739
12,2.8477715197438997,12,17,0.2654869085345316,0.14744171964880412,0.10929458068422646
13,2.5638736176845187,12,17,0.28068306944548754,0.14744171964880412,0.10868907054193158
14,2.5530936819731993,12,17,0.25704465716054864,0.14713896457765668,0.09022101120193764
15,2.4276003382947273,12,17,0.23957769968413686,0.14713896457765668,0.08567968513472601
16,2.391926173341548,12,17,0.2252251394829074,0.14713896457765668,0.08537693006357856
17,2.3854696092433443,12,17,0.21708421380424386,0.14713896457765668,0.08810172570390554
18,2.383243210570055,12,17,0.1976146118200546,0.08900999091734786,0.08507417499243113
19,2.3602789859285727,12,17,0.1844913108510729,0.08083560399636694,0.07508325764456554
2,3.8483777058654587,17,17,0.06707246080587134,0.5740236148955495,0.08265213442325159
3,3.7635307268218248,17,17,0.06287567325287528,0.5213442325158947,0.05994550408719346
4,3.5090198935683006,17,17,0.05897980749947506,0.4677565849227975,0.06418407508325764
5,3.4132312642146734,17,17,0.10179777812679182,0.27914017559794124,0.06963366636391159
6,3.3104134367952174,17,17,0.12307482091906173,0.2046624280956706,0.06690887072358462
7,3.2960309251752133,17,17,0.1312186336875001,0.2046624280956706,0.06448683015440508
8,3.212706028903205,17,17,0.13239681595557484,0.18740538904026643,0.0566151983045716
9,3.1642492085582865,17,17,0.1626386945106432,0.10021192854980321,0.09264305177111716
10,3.082545901911206,17,17,0.17095544425777479,0.10021192854980321,0.08628519527702089
11,3.0623283347883827,17,17,0.17925304032395445,0.10021192854980321,0.09052376627308507
12,3.0621991288756503,17,17,0.18067890344820264,0.08749621556161066,0.07659703300030275
