tree1,tree2,dist
705,1222,0.00026912554885099964
3354,1154,0.00027051174516577563
267,3231,0.0002711870074426914
2876,3227,0.00027175106509196023
1284,2971,0.0002722867255511123
285,2487,0.00027250720338440823
1391,3157,0.00027345380142117237
1379,2564,0.00027494488935643317
2549,2571,0.0002753621383893498
1484,2168,0.00027609823004767775
185,2545,0.00027648863228335683
1677,3295,0.00027688826819311646
195,1001,0.0002768896607208537
102,1522,0.00027699124595854246
5,168,0.0002779520009469523
538,2504,0.0002781772671334101
608,760,0.0002784693876695301
1152,1602,0.0002790522647109252
3393,1240,0.0002791726407375076
935,1878,0.0002792875339980849
601,2889,0.00027992644907117933
1469,2183,0.000281430005173661
64,2358,0.00028274240515655923
1145,3188,0.00028283554088046753
764,1017,0.0002830214042465768
928,1339,0.000283261599520598
1257,1573,0.00028402207607366916
210,1556,0.0002845569887616455
1748,1807,0.00028481077186885
1625,3107,0.00028564783491449863
3367,2875,0.00028691878192321253
763,1829,0.00028741262664362145
159,1103,0.00028883660039038736
802,2416,0.00028951704877344143
2517,3098,0.0002895609640520599
612,1012,0.00028965705182482874
1261,3145,0.00028969828188888
3313,3432,0.000289858021571306
926,2147,0.0002914520544019458
1047,1976,0.00029213065209519884
977,2581,0.00029230369237710427
621,862,0.000292591564665802
310,2006,0.0002928005117442088
174,503,0.0002942055403979821
1330,3230,0.0002943988803744066
540,1510,0.00029577373102761435
376,3260,0.0002965281179957806
1902,3264,0.00030357151968193885
535,3349,0.00030360484013531447
1930,2406,0.00030517467281551344
1669,2216,0.0003053202500907775
3455,1966,0.00030581964973525055
721,2401,0.000307147090201583
1064,2146,0.000307305199357788
1707,2323,0.0003104533130391836
32,853,0.0003107910646729245
228,371,0.0003108417380934623
353,1467,0.0003118269218332654
1886,2978,0.00031314590117717794
788,3355,0.0003133029310726475
3309,1107,0.0003134617146526922
327,3195,0.00031392882740583807
1852,2444,0.0003142242437447623
942,1531,0.00031429874424934723
1168,3306,0.0003154444528661836
2468,3180,0.000315731264252668
798,2816,0.0003184194594768597
852,2638,0.00031893474817978537
3468,3001,0.00032012786679237043
2424,3154,0.00032163163233436126
88,3080,0.0003217385082443375
672,943,0.0003219072049748927
1037,2434,0.0003223404899989138
2154,2311,0.0003225072154173572
624,2409,0.0003239994512894001
3315,2534,0.0003241381361036907
252,2351,0.00032424224816723565
675,1819,0.00032464200375188594
507,698,0.00032486632822405215
3399,565,0.00032625419321070156
770,1870,0.0003265226663866361
404,2600,0.00032728572789892177
3344,3265,0.0003274884252133861
2874,3219,0.0003301648244426261
1560,2094,0.0003317529477689929
231,1293,0.0003322650710137695
1282,2005,0.00033282137854363444
215,2336,0.0003330425104109934
3386,740,0.00033319546288043504
3546,2057,0.00033319673053723055
588,1943,0.00033451616678010707
929,1396,0.0003348847447796066
3448,1691,0.00033551675317615437
444,3021,0.0003367449924006616
1073,1740,0.00033759212626021176
3433,625,0.0003408520320732477
1463,2484,0.0003414425454526925
558,2621,0.00034195918487602353
3329,3424,0.00034196322142821325
914,1189,0.00034217291824118964
1394,1538,0.000342786874834803
3331,1910,0.00034286230993867475
1090,2462,0.00034327856938968886
295,379,0.0003435807703532105
304,1626,0.00034392505273856885
887,3363,0.00034537766519807285
40,1093,0.0003477554563344788
877,1385,0.00034956974664006324
187,3268,0.00034996225580577467
3190,3205,0.0003502378858191296
3310,1021,0.0003504805083739456
713,1202,0.0003504948567244221
3437,3370,0.00035076525896093544
69,3119,0.000350806065099029
642,3181,0.0003512089934911179
125,3361,0.0003512515145976357
572,2767,0.000351597277336628
128,944,0.00035210011016715767
585,891,0.00035377562178941224
324,1289,0.0003540631039752398
194,839,0.000354355569213983
543,1359,0.0003550183866751228
792,2546,0.00035624912085425054
892,2911,0.00035687600464123694
1511,3108,0.0003579532516204825
610,2304,0.0003579783692757941
500,1405,0.00035846786117969646
3382,3436,0.00035957808925867786
141,3500,0.0003604042986503717
776,981,0.000360587927498603
3341,1889,0.0003607305540300233
3362,2743,0.00036218332447350565
3539,2526,0.00036342023784662926
3513,2022,0.0003637197442059679
3405,1197,0.0003639135862462152
3456,1085,0.00036558486763289474
968,2302,0.00036561350046606864
1419,3076,0.00036701811663652443
1861,2084,0.0003674295643892513
547,868,0.00036757470510765094
3365,886,0.0003695891867998794
1084,1444,0.00037113021757054915
3337,1270,0.00037161485399020075
0,2079,0.0003717013120454818
593,2071,0.00037172583873274455
831,2713,0.0003745887447815042
3358,1466,0.0003748088538191915
1159,2960,0.00037488524262864996
1810,2361,0.0003757547094438915
415,1028,0.0003784635130369453
1787,3350,0.0003796716789844917
416,1478,0.00038075399480097874
817,1593,0.0003810528483991771
826,1207,0.00038112310828164117
75,3372,0.00038127639217243325
3406,1895,0.0003820374316754957
559,964,0.000383731862318863
2752,3170,0.00038415447478612474
2656,2754,0.0003855128613744867
3515,2368,0.0003857820141271104
2986,3186,0.00038589033954317467
2009,2438,0.00038626264037011637
1323,1361,0.00038648563351915965
614,2716,0.00038678294579830817
693,3034,0.000386931586431008
